,id,meal_id,food_name,servings,carbs,fats,proteins,calories
96,97,37,Chewy Bar,1.0,18,3,1,100
97,98,37,Hot Dog,2.0,1,12,5,140
98,99,37,Hot Dog Bun,2.0,23,1,4,130
99,100,37,Chips 1oz,1.0,15,10,2,160
100,101,38,Protein Powder,2.0,3,2,24,120
101,102,38,Pop Tart,1.0,74,9,3,390
102,103,39,Quesadilla (restaurant),1.0,110,65,73,1332
103,104,39,Small Coke,1.0,39,0,0,150
104,105,40,Protein Powder,2.0,3,2,24,120
105,106,40,Fruit Snacks,1.0,17,0,1,70
106,107,41,Cereal Bar,1.0,24,3,1,130
107,108,41,Ramen,1.0,54,14,8,370
108,109,41,Protein Powder,2.0,3,2,24,120
109,110,42,Rice,1.0,45,1,4,206
110,111,42,Protein Powder,2.0,3,2,24,120
111,112,43,Watermelon,1.0,21,0,2,85
112,113,43,Chewy Bar,1.0,18,3,1,100
113,114,43,Protein Powder,2.0,3,2,24,120
114,115,44,Protein Powder,2.0,3,2,24,120
115,116,44,Rice,2.0,45,1,4,206
116,117,44,Spicy Garlic,1.0,3,6,1,70
117,118,44,Ice Cream Sandwich,2.0,26,5,2,160
118,119,45,Chewy Bar,2.0,18,3,1,100
119,120,45,Oatmeal,3.0,32,3,9,160
120,121,45,Protein Powder,2.0,3,2,24,120
121,122,46,Quarter Pounder,2.0,42,26,30,520
122,123,47,Protein Powder,2.0,3,2,24,120
123,124,47,Pop Tart,1.0,74,9,3,390
124,125,48,McChicken,1.0,39,21,14,400
125,126,48,Wendys Jr Fries,1.0,28,9,3,210
