id,meal_id,food_name,servings,nutrition_info
23,8,Spicy Garlic,1,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
24,8,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
25,9,McChicken,2,"{""fats"": 21, ""carbs"": 39, ""calories"": 400, ""proteins"": 14}"
26,9,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
27,10,Ramen,1,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
28,10,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
29,10,Chips 1oz,1,"{""fats"": 10, ""carbs"": 15, ""calories"": 160, ""proteins"": 2}"
30,11,10 Traditional Wings,1,"{""fats"": 41, ""carbs"": 0, ""calories"": 720, ""proteins"": 88}"
31,11,Wendys Jr Fries,1,"{""fats"": 9, ""carbs"": 28, ""calories"": 210, ""proteins"": 3}"
32,11,Ranch,1,"{""fats"": 23, ""carbs"": 1, ""calories"": 210, ""proteins"": 1}"
33,12,Rice,1,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
34,12,Spicy Garlic,1,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
35,12,Fruit Snacks,1,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
36,12,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
37,13,Chewy Bar,2,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
38,13,Oatmeal,2,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
39,13,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
40,14,Chuck Steak 100g,3,"{""fats"": 20, ""carbs"": 0, ""calories"": 277, ""proteins"": 25}"
41,14,Rice,2,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
42,14,Spicy Garlic,2,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
43,15,Gordita Crunch,1,"{""fats"": 28, ""carbs"": 41, ""calories"": 490, ""proteins"": 20}"
44,15,Steak Ques.,1,"{""fats"": 27, ""carbs"": 42, ""calories"": 520, ""proteins"": 26}"
45,15,Gatorade Powder,2,"{""fats"": 0, ""carbs"": 22, ""calories"": 80, ""proteins"": 0}"
46,16,Ice Cream Sandwich,2,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
47,16,Fruit Snacks,1,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
48,17,Cereal Bar,2,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
49,17,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
50,18,Rice,1,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
51,18,Spicy Garlic,1,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
52,18,Eggs,4,"{""fats"": 5, ""carbs"": 0, ""calories"": 70, ""proteins"": 6}"
53,18,Butter,1,"{""fats"": 11, ""carbs"": 0, ""calories"": 100, ""proteins"": 0}"
54,19,Rice,1,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
55,19,Spicy Garlic,1,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
56,19,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
57,19,Fruit Snacks,2,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
58,20,Pop Tart,1,"{""fats"": 9, ""carbs"": 74, ""calories"": 390, ""proteins"": 3}"
59,20,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
60,21,Oatmeal,2,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
61,21,Cereal Bar,2,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
62,21,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
63,22,Rice,2,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
64,22,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
65,22,Butter,1,"{""fats"": 11, ""carbs"": 0, ""calories"": 100, ""proteins"": 0}"
66,23,Quarter Pounder,2,"{""fats"": 26, ""carbs"": 42, ""calories"": 520, ""proteins"": 30}"
67,23,Gatorade Powder,2,"{""fats"": 0, ""carbs"": 22, ""calories"": 80, ""proteins"": 0}"
68,24,Ice Cream Sandwich,1,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
69,24,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
70,25,Ramen,1,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
71,25,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
72,26,Gyro,1,"{""fats"": 12, ""carbs"": 73, ""calories"": 593, ""proteins"": 44}"
73,26,Wendys Jr Fries,2,"{""fats"": 9, ""carbs"": 28, ""calories"": 210, ""proteins"": 3}"
74,27,Rice,1,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
75,27,Spicy Garlic,2,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
76,27,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
77,28,Ice Cream Sandwich,1,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
78,28,Fruit Snacks,1,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
79,29,Oatmeal,2,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
80,29,Cereal Bar,2,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
81,29,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
82,30,Quarter Pounder,2,"{""fats"": 26, ""carbs"": 42, ""calories"": 520, ""proteins"": 30}"
83,31,Gatorade Powder,2,"{""fats"": 0, ""carbs"": 22, ""calories"": 80, ""proteins"": 0}"
84,31,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
85,31,Ice Cream Sandwich,2,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
86,32,Gordita Crunch,1,"{""fats"": 28, ""carbs"": 41, ""calories"": 490, ""proteins"": 20}"
87,32,Steak Ques.,1,"{""fats"": 27, ""carbs"": 42, ""calories"": 520, ""proteins"": 26}"
88,32,LG Baja Blast,1,"{""fats"": 0, ""carbs"": 111, ""calories"": 420, ""proteins"": 0}"
89,33,Ramen,1,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
90,33,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
91,34,Gordita Crunch,2,"{""fats"": 28, ""carbs"": 41, ""calories"": 490, ""proteins"": 20}"
92,35,Gordita Crunch,1,"{""fats"": 28, ""carbs"": 41, ""calories"": 490, ""proteins"": 20}"
93,35,Fruit Snacks,1,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
94,36,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
95,36,Fruit Snacks,1,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
96,37,Cereal Bar,1,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
97,37,Chewy Bar,1,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
98,37,Hot Dog,2,"{""fats"": 12, ""carbs"": 1, ""calories"": 140, ""proteins"": 5}"
99,37,Hot Dog Bun,2,"{""fats"": 1, ""carbs"": 23, ""calories"": 130, ""proteins"": 4}"
100,37,Chips 1oz,1,"{""fats"": 10, ""carbs"": 15, ""calories"": 160, ""proteins"": 2}"
101,38,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
102,38,Pop Tart,1,"{""fats"": 9, ""carbs"": 74, ""calories"": 390, ""proteins"": 3}"
103,39,Quesadilla (restaurant),1,"{""fats"": 65, ""carbs"": 110, ""calories"": 1332, ""proteins"": 73}"
104,39,Small Coke,1,"{""fats"": 0, ""carbs"": 39, ""calories"": 150, ""proteins"": 0}"
105,40,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
106,40,Fruit Snacks,1,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
107,41,Cereal Bar,1,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
108,41,Ramen,1,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
109,41,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
110,42,Rice,1,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
111,42,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
112,43,Watermelon,1,"{""fats"": 0, ""carbs"": 21, ""calories"": 85, ""proteins"": 2}"
113,43,Chewy Bar,1,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
114,43,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
115,44,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
116,44,Rice,2,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
117,44,Spicy Garlic,1,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
118,44,Ice Cream Sandwich,2,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
119,45,Chewy Bar,2,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
120,45,Oatmeal,3,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
121,45,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
122,46,Quarter Pounder,2,"{""fats"": 26, ""carbs"": 42, ""calories"": 520, ""proteins"": 30}"
123,47,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
124,47,Pop Tart,1,"{""fats"": 9, ""carbs"": 74, ""calories"": 390, ""proteins"": 3}"
125,48,McChicken,1,"{""fats"": 21, ""carbs"": 39, ""calories"": 400, ""proteins"": 14}"
126,48,Wendys Jr Fries,1,"{""fats"": 9, ""carbs"": 28, ""calories"": 210, ""proteins"": 3}"
127,49,Chewy Bar,2,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
128,49,Oatmeal,3,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
129,49,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
130,50,Ice Cream Sandwich,2,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
131,50,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
132,50,Gatorade Powder,1,"{""fats"": 0, ""carbs"": 22, ""calories"": 80, ""proteins"": 0}"
133,51,Quarter Pounder,2,"{""fats"": 26, ""carbs"": 42, ""calories"": 520, ""proteins"": 30}"
134,52,Pop Tart,1,"{""fats"": 9, ""carbs"": 74, ""calories"": 390, ""proteins"": 3}"
135,52,Rice,2,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
136,52,Spicy Garlic,2,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
137,52,Protein Powder,1,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
138,69,Ramen,1,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
139,69,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
140,69,Cereal Bar,1,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
141,70,Hot Dog,2,"{""fats"": 12, ""carbs"": 1, ""calories"": 140, ""proteins"": 5}"
142,70,Hot Dog Bun,2,"{""fats"": 1, ""carbs"": 23, ""calories"": 130, ""proteins"": 4}"
143,70,Chips 1oz,1,"{""fats"": 10, ""carbs"": 15, ""calories"": 160, ""proteins"": 2}"
144,71,Pop Tart,1,"{""fats"": 9, ""carbs"": 74, ""calories"": 390, ""proteins"": 3}"
145,71,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
146,72,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
147,72,Rice,1,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
148,72,Spicy Garlic,1,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
149,73,Chewy Bar,1,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
150,73,Fruit Snacks,1,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
151,73,Oatmeal,2,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
152,73,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
153,74,Gatorade Powder,2,"{""fats"": 0, ""carbs"": 22, ""calories"": 80, ""proteins"": 0}"
154,74,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
155,74,Ice Cream Sandwich,1,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
156,74,Fruit Snacks,2,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
157,75,Rice,2,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
158,75,Spicy Garlic,1,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
159,75,Pork Brat,2,"{""fats"": 21, ""carbs"": 2, ""calories"": 260, ""proteins"": 14}"
160,76,Cereal Bar,1,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
161,76,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
162,76,Rice,1,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
163,76,Spicy Garlic,1,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
164,76,Fruit Snacks,2,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
165,77,Pork Bacon,4,"{""fats"": 7, ""carbs"": 0, ""calories"": 90, ""proteins"": 7}"
166,77,Eggs,2,"{""fats"": 5, ""carbs"": 0, ""calories"": 70, ""proteins"": 6}"
167,77,Ramen,1,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
168,78,Gordita Crunch,1,"{""fats"": 28, ""carbs"": 41, ""calories"": 490, ""proteins"": 20}"
169,78,Steak Ques.,1,"{""fats"": 27, ""carbs"": 42, ""calories"": 520, ""proteins"": 26}"
170,78,LG Baja Blast,1,"{""fats"": 0, ""carbs"": 111, ""calories"": 420, ""proteins"": 0}"
171,79,Protein Powder,4,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
172,81,Chewy Bar,2,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
173,81,Oatmeal,3,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
174,81,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
175,82,Pork Bacon,1,"{""fats"": 7, ""carbs"": 0, ""calories"": 90, ""proteins"": 7}"
176,82,Sausage Links,2,"{""fats"": 13, ""carbs"": 2, ""calories"": 170, ""proteins"": 10}"
177,82,Rice,2,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
178,82,Spicy Garlic,2,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
179,82,Eggs,2,"{""fats"": 5, ""carbs"": 0, ""calories"": 70, ""proteins"": 6}"
180,83,Wendys Small Coke,1,"{""fats"": 0, ""carbs"": 66, ""calories"": 240, ""proteins"": 0}"
181,83,Dave Double,1,"{""fats"": 57, ""carbs"": 39, ""calories"": 888, ""proteins"": 54}"
182,83,Gatorade Powder,2,"{""fats"": 0, ""carbs"": 22, ""calories"": 80, ""proteins"": 0}"
183,83,Ice Cream Sandwich,1,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
184,85,Ramen,1,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
185,85,Pork Bacon,4,"{""fats"": 7, ""carbs"": 0, ""calories"": 90, ""proteins"": 7}"
186,85,Eggs,2,"{""fats"": 5, ""carbs"": 0, ""calories"": 70, ""proteins"": 6}"
187,86,Steak Ques.,1,"{""fats"": 27, ""carbs"": 42, ""calories"": 520, ""proteins"": 26}"
188,87,Steak Ques.,1,"{""fats"": 27, ""carbs"": 42, ""calories"": 520, ""proteins"": 26}"
189,87,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
190,88,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
191,88,Rice Krispie,2,"{""fats"": 2, ""carbs"": 17, ""calories"": 90, ""proteins"": 0}"
192,89,Oatmeal,3,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
193,89,Chewy Bar,2,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
194,89,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
195,90,Ice Cream Sandwich,1,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
196,90,Gatorade Powder,2,"{""fats"": 0, ""carbs"": 22, ""calories"": 80, ""proteins"": 0}"
197,90,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
198,91,Wendys Jr Fries,3,"{""fats"": 9, ""carbs"": 28, ""calories"": 210, ""proteins"": 3}"
199,91,Super Big Boy,1,"{""fats"": 84, ""carbs"": 35, ""calories"": 1190, ""proteins"": 63}"
200,93,Eggs,3,"{""fats"": 5, ""carbs"": 0, ""calories"": 70, ""proteins"": 6}"
201,93,Sausage Links,2,"{""fats"": 13, ""carbs"": 2, ""calories"": 170, ""proteins"": 10}"
202,93,Ramen,1,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
203,94,Steak Ques.,1,"{""fats"": 27, ""carbs"": 42, ""calories"": 520, ""proteins"": 26}"
204,95,Starbucks White Mocha,1,"{""fats"": 3, ""carbs"": 31, ""calories"": 210, ""proteins"": 9}"
205,95,Steak Ques.,1,"{""fats"": 27, ""carbs"": 42, ""calories"": 520, ""proteins"": 26}"
206,96,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
207,96,Rice Krispie,1,"{""fats"": 2, ""carbs"": 17, ""calories"": 90, ""proteins"": 0}"
208,96,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
209,97,Chewy Bar,2,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
210,97,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
211,97,Oatmeal,3,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
212,98,Ice Cream Sandwich,2,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
213,98,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
214,98,Gatorade Powder,2,"{""fats"": 0, ""carbs"": 22, ""calories"": 80, ""proteins"": 0}"
215,99,Pork Chop,2,"{""fats"": 12, ""carbs"": 0, ""calories"": 210, ""proteins"": 23}"
216,99,Stuffed Mushrooms,4,"{""fats"": 7, ""carbs"": 1, ""calories"": 100, ""proteins"": 7}"
217,99,Pop Tart,1,"{""fats"": 9, ""carbs"": 74, ""calories"": 390, ""proteins"": 3}"
218,100,Rice,3,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
219,100,Spicy Garlic,2,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
220,100,Rice Krispie,2,"{""fats"": 2, ""carbs"": 17, ""calories"": 90, ""proteins"": 0}"
221,100,Grilled Chicken,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 110, ""proteins"": 18}"
222,101,Cereal Bar,1,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
223,101,Eggs,3,"{""fats"": 5, ""carbs"": 0, ""calories"": 70, ""proteins"": 6}"
224,101,Pork Bacon,4,"{""fats"": 7, ""carbs"": 0, ""calories"": 90, ""proteins"": 7}"
225,101,Ramen,1,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
226,102,Hot Dog,2,"{""fats"": 12, ""carbs"": 1, ""calories"": 140, ""proteins"": 5}"
227,102,Hot Dog Bun,2,"{""fats"": 1, ""carbs"": 23, ""calories"": 130, ""proteins"": 4}"
228,102,Chips 1oz,1,"{""fats"": 10, ""carbs"": 15, ""calories"": 160, ""proteins"": 2}"
229,103,Pizza Slice,2,"{""fats"": 10, ""carbs"": 42, ""calories"": 330, ""proteins"": 19}"
230,103,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
231,104,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
232,105,Chewy Bar,2,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
233,105,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
234,105,Oatmeal,3,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
235,106,Ice Cream Sandwich,2,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
236,106,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
237,106,Gatorade Powder,2,"{""fats"": 0, ""carbs"": 22, ""calories"": 80, ""proteins"": 0}"
238,107,Pork Chop,3,"{""fats"": 12, ""carbs"": 0, ""calories"": 210, ""proteins"": 23}"
239,107,Stuffed Mushrooms,3,"{""fats"": 7, ""carbs"": 1, ""calories"": 100, ""proteins"": 7}"
240,107,Pop Tart,1,"{""fats"": 9, ""carbs"": 74, ""calories"": 390, ""proteins"": 3}"
241,108,Tortilla,1,"{""fats"": 4, ""carbs"": 35, ""calories"": 210, ""proteins"": 6}"
242,108,Grilled Chicken,1,"{""fats"": 2, ""carbs"": 3, ""calories"": 110, ""proteins"": 18}"
243,109,Eggs,3,"{""fats"": 5, ""carbs"": 0, ""calories"": 70, ""proteins"": 6}"
244,109,Pork Bacon,4,"{""fats"": 7, ""carbs"": 0, ""calories"": 90, ""proteins"": 7}"
245,109,Ramen,1,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
246,110,LG Baja Blast,1,"{""fats"": 0, ""carbs"": 111, ""calories"": 420, ""proteins"": 0}"
247,110,Gordita Crunch,1,"{""fats"": 28, ""carbs"": 41, ""calories"": 490, ""proteins"": 20}"
248,111,Ice Cream Sandwich,1,"{""fats"": 5, ""carbs"": 26, ""calories"": 160, ""proteins"": 2}"
249,111,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
250,111,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
251,112,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
252,113,Chewy Bar,2,"{""fats"": 3, ""carbs"": 18, ""calories"": 100, ""proteins"": 1}"
253,113,Oatmeal,3,"{""fats"": 3, ""carbs"": 32, ""calories"": 160, ""proteins"": 9}"
254,113,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
255,114,Ice Cream,3,"{""fats"": 9, ""carbs"": 23, ""calories"": 180, ""proteins"": 3}"
